,market_value_eur,log_market_value_eur,Age,Min,90s,goals_per90,assists_per90,shots_per90,shots_on_target_per90,crosses_per90,interceptions_per90,tackles_won_per90,contract_years_remaining,contract_expired,market_value_days_from_valuation,market_value_stale,days_since_last_transfer,transfer_count_before_valuation
market_value_eur,1.0,0.7767828116302387,-0.21787205908689908,0.32743469281129645,0.32742508485685967,0.23422619101327805,0.10651920445034982,0.1831301078184034,0.16982365213993264,-0.0019538584310853555,-0.0987935229717217,-0.06999319046503734,0.37036011644014033,-0.0395499925706267,-0.004339987847063525,,0.10540089074517271,-0.16134250512064732
log_market_value_eur,0.7767828116302387,1.0,-0.3163411961732811,0.39684619499050783,0.3968263034193246,0.19274244327858644,0.10286681930586059,0.1669632190766809,0.14793597450979817,-0.00025726854211077826,-0.09228779770830094,-0.06418380081418615,0.4287193332062783,-0.0659605358305949,-0.019698577082418886,,0.04162249540079893,-0.1541340619970889
Age,-0.21787205908689908,-0.3163411961732811,1.0,0.12889034026709498,0.12891548094624233,0.013033225735781435,-0.0069995832144429965,-0.05480330288910499,-0.032693872566212895,0.044985866762335944,0.023903244690524163,-0.0674109003731597,-0.4216756011691092,0.06372256479441929,0.01439087534298797,0.026108122950529628,0.36035401872157263,0.3719965617352139
Min,0.32743469281129645,0.39684619499050783,0.12889034026709498,1.0,0.9999957409456571,0.030375317402354156,0.003245333359816766,-0.09624199269050572,-0.060683476127266996,-0.023234498583173505,0.06634636915592106,-0.05637270784610883,0.14490360281776365,-0.002228052488327548,-0.031739876643498935,-0.05437725895775303,0.283018965289497,-0.04240018569923901
90s,0.32742508485685967,0.3968263034193246,0.12891548094624233,0.9999957409456571,1.0,0.030390033835334018,0.0032237847402853516,-0.09621795563860426,-0.060677099243922894,-0.023289324138300524,0.06633282145223193,-0.05640038288041332,0.14489538254761813,-0.0022688905448845042,-0.03170947403318789,-0.05437464568791413,0.2829843554769848,-0.04236092011514261
goals_per90,0.23422619101327805,0.19274244327858644,0.013033225735781435,0.030375317402354156,0.030390033835334018,1.0,0.072409350884853,0.4731679434390014,0.5165427023885935,0.021366958141292563,-0.2805094034427847,-0.18438486450863334,0.032287113621602456,-0.01115807312345483,-0.018987021967203033,-0.02787378727196501,0.0068160724135599956,0.0733432370070386
assists_per90,0.10651920445034982,0.10286681930586059,-0.0069995832144429965,0.003245333359816766,0.0032237847402853516,0.072409350884853,1.0,0.12288265512260216,0.09733507698555455,0.17672358961870632,-0.12202446651323831,-0.06471471251122733,0.008600994862158668,-0.008079145081330268,-0.008382473848676037,-0.009723939240932554,0.028575912744658337,-1.3273995385916529e-05
shots_per90,0.1831301078184034,0.1669632190766809,-0.05480330288910499,-0.09624199269050572,-0.09621795563860426,0.4731679434390014,0.12288265512260216,1.0,0.7553417605556457,0.14001442428803582,-0.3743430756254115,-0.24347284798726782,0.010507912357728477,-0.004600643141539639,-0.012340833983242618,-0.015555750727077815,-0.06835057611403626,0.1054811434895901
shots_on_target_per90,0.16982365213993264,0.14793597450979817,-0.032693872566212895,-0.060683476127266996,-0.060677099243922894,0.5165427023885935,0.09733507698555455,0.7553417605556457,1.0,0.08268235560735089,-0.31002556246472546,-0.19042905064095128,0.014494369019437703,-0.007107497834867434,-0.018887215225391323,-0.021788598365375268,-0.04190392820641412,0.06734423009249503
crosses_per90,-0.0019538584310853555,-0.00025726854211077826,0.044985866762335944,-0.023234498583173505,-0.023289324138300524,0.021366958141292563,0.17672358961870632,0.14001442428803582,0.08268235560735089,1.0,-0.11702086566057415,0.012089749489381607,-0.032773065098703716,0.0055655872893710595,-0.008155157565923282,0.009982064647748673,0.037336224917119964,0.05208473570621055
interceptions_per90,-0.0987935229717217,-0.09228779770830094,0.023903244690524163,0.06634636915592106,0.06633282145223193,-0.2805094034427847,-0.12202446651323831,-0.3743430756254115,-0.31002556246472546,-0.11702086566057415,1.0,0.2823437187427956,-0.00019406789411441683,0.008840160981849978,0.00861826194998072,0.004252157658709942,0.05038075745470789,-0.11032461184652051
tackles_won_per90,-0.06999319046503734,-0.06418380081418615,-0.0674109003731597,-0.05637270784610883,-0.05640038288041332,-0.18438486450863334,-0.06471471251122733,-0.24347284798726782,-0.19042905064095128,0.012089749489381607,0.2823437187427956,1.0,0.016483002221334777,0.0071448380793691256,-0.005727040096551957,-0.012113623249968135,-0.011929156379386017,-0.10492232993555747
contract_years_remaining,0.37036011644014033,0.4287193332062783,-0.4216756011691092,0.14490360281776365,0.14489538254761813,0.032287113621602456,0.008600994862158668,0.010507912357728477,0.014494369019437703,-0.032773065098703716,-0.00019406789411441683,0.016483002221334777,1.0,-0.12561776069615216,-0.07085396844720751,-0.06936129885796055,-0.1248631730658595,-0.19444406648257637
contract_expired,-0.0395499925706267,-0.0659605358305949,0.06372256479441929,-0.002228052488327548,-0.0022688905448845042,-0.01115807312345483,-0.008079145081330268,-0.004600643141539639,-0.007107497834867434,0.0055655872893710595,0.008840160981849978,0.0071448380793691256,-0.12561776069615216,1.0,0.074020378401957,0.06048890882171962,0.07483249484887572,0.027833340081177056
market_value_days_from_valuation,-0.004339987847063525,-0.019698577082418886,0.01439087534298797,-0.031739876643498935,-0.03170947403318789,-0.018987021967203033,-0.008382473848676037,-0.012340833983242618,-0.018887215225391323,-0.008155157565923282,0.00861826194998072,-0.005727040096551957,-0.07085396844720751,0.074020378401957,1.0,0.6435770377646047,0.08800289811025318,0.04753656004275062
market_value_stale,,,0.026108122950529628,-0.05437725895775303,-0.05437464568791413,-0.02787378727196501,-0.009723939240932554,-0.015555750727077815,-0.021788598365375268,0.009982064647748673,0.004252157658709942,-0.012113623249968135,-0.06936129885796055,0.06048890882171962,0.6435770377646047,1.0,0.017060797058717835,0.01763455932918449
days_since_last_transfer,0.10540089074517271,0.04162249540079893,0.36035401872157263,0.283018965289497,0.2829843554769848,0.0068160724135599956,0.028575912744658337,-0.06835057611403626,-0.04190392820641412,0.037336224917119964,0.05038075745470789,-0.011929156379386017,-0.1248631730658595,0.07483249484887572,0.08800289811025318,0.017060797058717835,1.0,-0.22299735512135668
transfer_count_before_valuation,-0.16134250512064732,-0.1541340619970889,0.3719965617352139,-0.04240018569923901,-0.04236092011514261,0.0733432370070386,-1.3273995385916529e-05,0.1054811434895901,0.06734423009249503,0.05208473570621055,-0.11032461184652051,-0.10492232993555747,-0.19444406648257637,0.027833340081177056,0.04753656004275062,0.01763455932918449,-0.22299735512135668,1.0
